"SHEET 1: QUESTION TRIGGERS — Add new rows to teach the chatbot new question phrasings. Each row maps a question to an Answer Category. You can also add entirely new Answer Categories in Sheet 2.",,,
"User Question (what a client might type)","Answer Category ID","Answer Category Name","Notes"
"How does Monetary Metals work?","businessModel","How It Works",""
"What do you do?","businessModel","How It Works",""
"Explain your business","businessModel","How It Works",""
"How does this work?","businessModel","How It Works",""
"What is Monetary Metals?","businessModel","How It Works",""
"How do you generate interest on gold?","businessModel","How It Works",""
"How can gold earn interest?","businessModel","How It Works",""
"What is the gold yield marketplace?","businessModel","How It Works",""
"Tell me about monetary metals","businessModel","How It Works",""
"What metals can I invest with?","metals","Metals Available",""
"Which metals do you support?","metals","Metals Available",""
"Can I invest in platinum?","metals","Metals Available",""
"Do you offer palladium?","metals","Metals Available",""
"Is platinum available?","metals","Metals Available",""
"Can I use platinum?","metals","Metals Available",""
"What precious metals do you work with?","metals","Metals Available",""
"Only gold and silver?","metals","Metals Available",""
"How does the lease work?","leaseProgram","How Leases Work",""
"What is a true lease?","leaseProgram","How Leases Work",""
"How does gold leasing work?","leaseProgram","How Leases Work",""
"What happens to my gold?","leaseProgram","How Leases Work",""
"Explain the lease program","leaseProgram","How Leases Work",""
"How is my gold used?","leaseProgram","How Leases Work",""
"Walk me through a lease","leaseProgram","How Leases Work",""
"What returns can I expect?","returns","Returns & Rates",""
"What is the yield?","returns","Returns & Rates",""
"What rate do you pay?","returns","Returns & Rates",""
"How much can I earn?","returns","Returns & Rates",""
"What is the interest rate?","returns","Returns & Rates",""
"How much do leases pay?","returns","Returns & Rates","⚠️ MISFIRE — currently maps to leaseProgram. Triggers need updating."
"What percentage do I earn?","returns","Returns & Rates",""
"How has it performed historically?","returns","Returns & Rates",""
"Do bonds pay more than leases?","bonds","Gold & Silver Bonds","⚠️ MISFIRE — goes to bonds but doesn't directly answer the comparison. Answer needs updating."
"What are bonds?","bonds","Gold & Silver Bonds",""
"Tell me about gold bonds","bonds","Gold & Silver Bonds",""
"What is a gold bond?","bonds","Gold & Silver Bonds",""
"How do bonds work?","bonds","Gold & Silver Bonds",""
"Am I an accredited investor?","bonds","Gold & Silver Bonds",""
"How do I qualify as accredited?","bonds","Gold & Silver Bonds",""
"Can I get higher returns?","bonds","Gold & Silver Bonds",""
"How do I get more than 4%?","bonds","Gold & Silver Bonds",""
"Is it safe?","risk","Risk & Protection",""
"What are the risks?","risk","Risk & Protection",""
"How do you protect my gold?","risk","Risk & Protection",""
"Can I lose my gold?","risk","Risk & Protection",""
"What if the business defaults?","risk","Risk & Protection",""
"What if the lessee goes bankrupt?","risk","Risk & Protection",""
"What is the downside?","risk","Risk & Protection",""
"Worst case scenario?","risk","Risk & Protection",""
"How do I open an account?","accountOpening","Account Opening",""
"How do I get started?","accountOpening","Account Opening",""
"How do I sign up?","accountOpening","Account Opening",""
"What do I need to open an account?","accountOpening","Account Opening",""
"Account requirements?","accountOpening","Account Opening",""
"How long does it take to open an account?","accountOpening","Account Opening",""
"How do I fund my account?","funding","Account Funding",""
"Can I ship my gold?","funding","Account Funding",""
"Can I wire money?","funding","Account Funding",""
"Can I use ACH?","funding","Account Funding",""
"Can I send my existing coins?","funding","Account Funding",""
"How do I deposit?","funding","Account Funding",""
"What are the fees?","fees","Fees & Costs",""
"Is storage free?","fees","Fees & Costs",""
"What does it cost?","fees","Fees & Costs",""
"Are there any hidden fees?","fees","Fees & Costs",""
"What is the spread?","fees","Fees & Costs",""
"How do you charge?","fees","Fees & Costs",""
"What is your fee structure?","fees","Fees & Costs",""
"Can I withdraw?","liquidity","Liquidity & Withdrawals",""
"How do I get my gold back?","liquidity","Liquidity & Withdrawals",""
"How liquid is this?","liquidity","Liquidity & Withdrawals",""
"Am I locked in?","liquidity","Liquidity & Withdrawals",""
"How do I cash out?","liquidity","Liquidity & Withdrawals",""
"Can I exit early?","liquidity","Liquidity & Withdrawals",""
"How long until I can withdraw?","liquidity","Liquidity & Withdrawals",""
"I'm British. Can I invest?","international","International Investors",""
"Can I invest from Canada?","international","International Investors",""
"I live in Australia, can I join?","international","International Investors",""
"Do you accept international investors?","international","International Investors",""
"I'm not American, can I invest?","international","International Investors",""
"Can foreigners invest?","international","International Investors",""
"I live overseas, can I invest?","international","International Investors",""
"What is the minimum investment?","minimums","Minimums",""
"How much do I need to start?","minimums","Minimums",""
"How many ounces do I need?","minimums","Minimums",""
"Can I start with $30,000?","minimums","Minimums",""
"How long does funding take?","timelines","Timelines",""
"How quickly can I start earning?","timelines","Timelines",""
"How many days to process a wire?","timelines","Timelines",""
"How long to withdraw?","timelines","Timelines",""
"How are you different from ETFs?","competitive","vs. Alternatives",""
"Why not just buy GLD?","competitive","vs. Alternatives",""
"How do you compare to gold storage?","competitive","vs. Alternatives",""
"Why choose you over a vault?","competitive","vs. Alternatives",""
"Why not mining stocks?","competitive","vs. Alternatives",""
"Who is Monetary Metals?","company","Company Credentials",""
"Is this a real company?","company","Company Credentials",""
"Is Monetary Metals legitimate?","company","Company Credentials",""
"Who is Keith Weiner?","company","Company Credentials",""
"How long have you been operating?","company","Company Credentials",""
"Are you regulated?","company","Company Credentials",""
"How is it taxed?","tax","Tax Implications",""
"Do I get a 1099?","tax","Tax Implications",""
"Is the interest ordinary income?","tax","Tax Implications",""
"Tax reporting for international investors?","tax","Tax Implications",""
"What do I own exactly?","pool","What You Own (Pool)",""
"Do I actually own physical gold?","pool","What You Own (Pool)",""
"Is it allocated?","pool","What You Own (Pool)",""
"What is allocated pool?","pool","What You Own (Pool)",""
"Is there fractional lending?","pool","What You Own (Pool)",""
"Where is my gold stored?","vaults","Vault Partners",""
"What vault do you use?","vaults","Vault Partners",""
"Is it in a Brinks vault?","vaults","Vault Partners",""
"Can I visit my vault?","vaults","Vault Partners",""
"Where are the vault locations?","vaults","Vault Partners",""
"Is this a scam?","misconceptions","Common Misconceptions",""
"This seems too good to be true","misconceptions","Common Misconceptions",""
"Will you steal my gold?","misconceptions","Common Misconceptions",""
"How do I know you won't disappear?","misconceptions","Common Misconceptions",""
"Sounds like a Ponzi scheme","misconceptions","Common Misconceptions",""
"Can I speak to someone?","rm","Relationship Manager",""
"What is your phone number?","rm","Relationship Manager",""
"How do I contact Monetary Metals?","rm","Relationship Manager",""
"Can I schedule a call?","rm","Relationship Manager",""
"Does my idle gold earn anything?","leaseYield","Lease Yield Account",""
"What is the Lease Yield Account?","leaseYield","Lease Yield Account",""
"Does my gold earn while waiting?","leaseYield","Lease Yield Account",""
"Can I choose which leases to join?","optOut","Opt-Out System",""
"How does allocation work?","optOut","Opt-Out System",""
"Can I reject a deal?","optOut","Opt-Out System",""
"How am I diversified?","optOut","Opt-Out System",""
"Can I use an IRA?","ira","IRA & Retirement Accounts",""
"Can I invest through my 401k?","ira","IRA & Retirement Accounts",""
"Is it IRA eligible?","ira","IRA & Retirement Accounts",""
"Can I use retirement funds?","ira","IRA & Retirement Accounts",""
"Can I invest through a trust?","trustCorpAccount","Trust / LLC / Company Accounts",""
"Can I open an LLC account?","trustCorpAccount","Trust / LLC / Company Accounts",""
"Can my company invest?","trustCorpAccount","Trust / LLC / Company Accounts",""
"Corporate account?","trustCorpAccount","Trust / LLC / Company Accounts",""
"Does interest compound?","compounding","Compounding",""
"Are returns reinvested automatically?","compounding","Compounding",""
"What is the long term growth?","compounding","Compounding",""
"Tell me about silver","silverSpecific","Silver-Specific",""
"How does silver leasing work?","silverSpecific","Silver-Specific",""
"Is silver oversubscribed?","silverSpecific","Silver-Specific",""
"Silver vs gold?","silverSpecific","Silver-Specific",""
"What is the gold price?","spotPrice","Spot Price",""
"What is the current silver price?","spotPrice","Spot Price",""
"How much is an ounce of gold worth?","spotPrice","Spot Price",""
"Is the gold insured?","insurance","Insurance Coverage",""
"Is it FDIC insured?","insurance","Insurance Coverage",""
"Lloyd's of London coverage?","insurance","Insurance Coverage",""
"What if the vault is robbed?","insurance","Insurance Coverage",""
"How much should I allocate?","portfolio","Portfolio Strategy",""
"What percentage of my portfolio?","portfolio","Portfolio Strategy",""
"Where does this fit in my portfolio?","portfolio","Portfolio Strategy",""
"Can I open a joint account?","jointAccount","Joint Accounts",""
"Can my spouse be on the account?","jointAccount","Joint Accounts",""
"What happens to my account when I die?","estate","Estate Planning",""
"Can I name a beneficiary?","estate","Estate Planning",""
"Can I leave it to my kids?","estate","Estate Planning",""
"I want to invest over $1 million","largeInvestment","Large Investments ($1M+)",""
"Family office interest","largeInvestment","Large Investments ($1M+)",""
"How is interest paid?","howInterestPaid","How Interest Is Paid",""
"When do I receive my ounces?","howInterestPaid","How Interest Is Paid",""
"Monthly payment schedule?","howInterestPaid","How Interest Is Paid",""
"Any educational resources?","resources","Resources & Links",""
"Do you have a white paper?","resources","Resources & Links",""
"Any videos I can watch?","resources","Resources & Links",""
